essay,label,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,most_freq,total_rp,max_rp_count,avg sentence complexity,grammar&spel,lexical diversity,sentence similarity mean,sentence similarity median,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,automated readability,coleman liau,Cohesion score:,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment
"In our modern times, with the development of science and technology, our living standard has been improved beyond recognition. Technology, however, is not the best solution to all the world's intricate problems. Accordingly, it is believed that we need to place less emphasis on technological solutions and more on other values, such as economy, politics and education. Personally, I partly disagree with this point of view, and the reasons are given below. To begin with, it should be borne in mind that technology plays an integral part in our lives. With the invention of computers and the Internet, we now can get easy access to all kinds of information. In addition, hi-tech devices also have a very positive impact on many aspects of our lives. They help us to work and study more efficiently, thus leading to an improvement in our abilities. Medical advances can improve our health and cure many fatal diseases. Besides, modern technology enables us to predict natural disasters much faster and more accurately, so we can reduce the number of deaths and property damage. However, there are some serious problems springing from modern technology. First, deadly and powerful weapons can be a huge threat to the world's peace. Second, a lot of people spend too much time using hi-tech devices nowadays. They abuse them so severely that they feel they can hardly live without them. This can have a detrimental effect on their health, since they are likely to develop many dangerous diseases, including obesity, heart attack and high blood-pressure. In conclusion, although there is no disputing the fact that technology is very crucial for our lives, in can also result in several negative drawbacks. However, I strongly believe that its advantages clearly outweigh its disadvantages, and that it can contribute greatly to the development of the world. Therefore, scientists should not place less emphasis on technological solutions, but try to pay more attention to develop new technologies instead.",0,323,18,17.944444444444443,25,25,10,176,9.77777777777778,207,0.2476780185758514,0.1393188854489164,0.1145510835913312,0.0588235294117647,5.0,2,2,5.722,,0.5405405405405406,0.8488628831174638,0.9103518128395081,327.0,142.59371440413017,0.0,0.0,142.59371440413017,10.3,12.0,11.71,4.607894021113817,0.5405405405405406,0.105,0.111,0.784
"Exercising is one of the most important things in life. America's number one killer is heart disease, which can easily be prevented by exercising. More that 1.6 billion people in the world are either overweight or obese and United States has the highest rate of obesity. Exercise not only reduces your risk for health problems and several diseases, but it also has an effect on overall appearance. It's proven that exercising can improve self-esteem and confidence. Excerising has numerous benefits and it can even be fun. It's important you exercise so that you can live a healthier, longer, and happier live. The number one reason why people should exercise is because it will keep you healthy. Americans are eating enormous amounts of fast foods these days, so heart diseases are becoming more and more common. One out of every four Americans are suffering from some form of heart disease, which results in more than forty-five percent of deaths annually. The main cause of this condition is obesity. The more body fat that you have, the greater your risk for heart disease. However, this condition can easily be prevented or controlled by exercising. Exercising makes the heart muscles stronger. When your heart muscle is strong it can do the same amount of work at a lower heart rate, so the heart doesn't have to work as hard. In today's society people are less concerned with the food they and the condition that their body is in, so many serious illnesses are becoming quite common. Exercising not only helps prevent heart diseases, but it also helps prevent strokes, type 2 diabetes, and even certain types of cancer. The second benefit to exercising is that it improves self-esteem and confidence. Most people think of exercising as only being a physical activity, but it's also a mental activity. There have been studies that show evidence that people who exercise have higher self esteem and confidence. It also showed that active people are less likely to have depression and anxiety. Exercising gives people energy, which helps people have positive outlooks on life and it helps relieves tension and stress. When you exercise you body releases endorphins, which are chemicals that create a happy feeling in brain. Plus, when you're exercising you're bringing more oxygen into you lungs and your brain appreciates the extra air. Exercising also helps improve you brain function and your memory. In my opinion the best reason to exercise is that it's really fun! Most people think that exercising takes up a lot of time and it requires too much work. When people actually take the time to try exercising they realize it's an enjoyable experience. It doesn't matter how you exercise, as long as you are being active. Everyone enjoys different sports or activities, so it's important to figure out which is best for you. When you having fun you don't even realize that your exercising and you look forward to it everyday. Setting goals and rewards will help you stay motivated and consistent with exercising. There is no greater feeling than achieving a weight lose goal and being able to feel good about your body. It makes exercising well worth it. In conclusion, exercising is the key to making your life healthier, longer, and happier. It is one of the most important things in life and it's one hundred percent beneficial. Many people come up with plenty of excuses to not exercise; however, if you truly want to improve your mental and physical health you will find the energy and time to exercise. Everyone should take time out of their days to exercise, so they can improve their lives in many ways. So next time you are deciding whether or not to exercise just think of the benefits you will experience from it. It is extremely rewarding and worthwhile.",0,639,40,15.975,17,32,6,362,9.05,306,0.2237871674491393,0.1517996870109546,0.1032863849765258,0.081377151799687,12.0,5,2,4.619,12.0,0.3969359331476323,0.8754909066926866,0.8946437835693359,653.0,298.4210615161733,0.0,0.0,298.4210615161733,8.2,9.4,10.09,4.227225542929021,0.3969359331476323,0.247,0.084,0.669
"With the current trend today of the ever-changing technology, it cannot be denied that several jobs are replaceable. On the other hand, there are still jobs which require the expertise of a human employee especially when it entails decision-making situations. One example of a job that got replaced by the availability of technology or computer to the public is the reservation and ticketing officers of travel agencies and airlines. You can now see the availability of your intended travel dates online, make the reservation, know the price of the ticket you want to purchase and pay conveniently with your credit card and you're all done. You even have the choice of printing your own ticket or just pick it up at the airport at the day of your departure. But of course, there would still be several customers that prefer to talk with an agent in completing their purchase of a ticket. They may have several reasons to it but then maybe they are just comfortable dealing with a human being than a computer. Jobs that the most computer can do is assist, would be that of a medical doctor. It's true that technology and computers do make their jobs easier but it cannot definitely replace them. It can have less work for them, just for instance, instead of opening up a patient to get a gallstone, they would just use an instrument that would make a point incision and guide it through inside the body to do the job for them. With this, i still believe that technology and computers cannot eventually replace the workforce and drive employees to be jobless. We still need the personal touch of a human in each and everything that technology or computer could offer us.",0,292,12,24.33333333333333,22,45,16,188,15.666666666666666,162,0.2260273972602739,0.1506849315068493,0.0582191780821917,0.0821917808219178,5.0,0,1,6.0,3.0,0.49843260188087773,0.8529957958630153,0.9281219244003296,295.0,132.54142566579245,3.0,-0.08832328385518606,132.45310238193724,11.6,13.0,9.87,4.010018577291134,0.49843260188087773,0.063,0.014,0.923
"Over the last half century the change in the life of human begings has increased beyond our wildest expectations. There are countless new technological equipments flooding into our lives, such as the Internet, television and cell phone. They all enrich our daily lives.Now, many students learn from Internet after class and they find it quite helpful. Many people find that students at schools and universities still learn much more from lessons with teachers. They argue that teachers teach students how to write, read and calculate since they are in kindergarten.And when they are in primary school, teachers teach them more further knowledge, like writing skills and using computers.It is teachers that help them with obstacles in schooling. On the other hand, students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers. Those who feel that students learn far more from other sources, such as the Internet and television, frimly believe that within this sources students learn lots of things which they can't learn in classes. They can only input some key words and google it, and then there are numberless articles and websites related to it. In this case, stundents learn things easily. Moreover, they contend that good television programmes do teach students.For instance, Discovery Channel has many instructive episodes. Students have knowledge of others cultrues, outer space etc. Personally, I think that students learn far more from their teachers than from other source. Because not only do teachers teach us knowlegde but also the skills to tell right from wrong. Just imagine: if a student can't even make out whether the source is reasonable or not , then how can he get the right information to help him to learn?",0,291,14,20.785714285714285,17,44,7,161,11.5,183,0.2542955326460481,0.134020618556701,0.1099656357388316,0.0756013745704467,9.0,2,2,4.944,14.0,0.5479876160990712,0.8454512854417165,0.9301484823226929,287.0,128.46430627537006,0.0,0.0,128.46430627537006,7.2,11.0,11.66,3.9012478673359494,0.5479876160990712,0.066,0.032,0.902
"It is always said that competition can effectively promote the development of economy. In order to survive in the competition, companies continue to improve their products and service, and as a result, the whole society prospers. However, when we discuss the issue of competition or cooperation, what we are concerned about is not the whole society, but the development of an individual's whole life. From this point of view, I firmly believe that we should attach more importance to cooperation during primary education. First of all, through cooperation, children can learn about interpersonal skills which are significant in the future life of all students. What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others. During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred. All of these skills help them to get on well with other people and will benefit them for the whole life. On the other hand, the significance of competition is that how to become more excellence to gain the victory. Hence it is always said that competition makes the society more effective. However, when we consider about the question that how to win the game, we always find that we need the cooperation. The greater our goal is, the more competition we need. Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care. The winner is the athlete but the success belongs to the whole team. Therefore without the cooperation, there would be no victory of competition. Consequently, no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that a more cooperative attitudes towards life is more profitable in one's success.",0,367,16,22.9375,21,58,10,234,14.625,191,0.2370572207084468,0.1171662125340599,0.0790190735694822,0.0572207084468664,9.0,3,2,5.438,7.0,0.43137254901960786,0.8701463900506496,0.9277504086494446,368.0,165.7868706167164,0.0,0.0,165.7868706167164,12.2,13.3,10.97,4.079671304966378,0.43137254901960786,0.215,0.024,0.761
"Nowadays, whether to establish large factories nearby housing areas has become a controversial issue in our society. Out of the case of economic development, industrial buildings are a necessary part of modern society. However a vast number of people are against building a factory near their community because of pollution. From my point of view, the advantages of building a factory will outweigh its disadvantages, if we tackle the environmental problems brought by factories. First of all, a large factory can stimulate local economic growth and reduce the unemployment rate. To manufacture goods, there must be the demand of laborers, from which the local residents can benefit. What is more, the factory is not isolated, other industries and business will be quickly established, resulting in economic growth of local area. For example, the estate industry will be boosted in order to satisfy the workers' accommodation need. The main disadvantage is contamination. It is truth that some area are suffering the dire consequences caused by overdeveloping the industry, such as water pollution, overcrowded traffic and medical problems. For instance, in some industrial cities , a large proportion of the workers are suffering various breathing problems, such as asthma which can be caused by waste ashes and certain chemical substances. However, it is inevitable that there will be more factories built with the development of our society. Therefore, how to improve the disadvantages of building a factory would be more important than whether to build it. In fact most problems can be avoidable if the factories put in real and great effort to manage their waste well. In conclusion, installation of manufacturing plant is a trend of industrialization for many countries. Its advantages will outweigh disadvantages as long as the factories dispose their waste and pollution in the correct way.",0,298,16,18.625,17,32,5,153,9.5625,180,0.2818791946308724,0.1375838926174496,0.1208053691275167,0.023489932885906,5.0,0,1,5.625,5.0,0.5075075075075075,0.8516195192933083,0.9176028370857239,293.0,116.99463686548656,1.0,-0.0025619448873684947,116.99207492059918,11.7,13.2,13.29,4.135037468112996,0.5075075075075075,0.116,0.134,0.75
"Persistent deliberation is happening as to whether it is desirable for the youth to go to university. In regard to the development of the country, some people believe that it is essential for young students to get high quality of education in universities, while others think that it is only one of causes to increase the rate of unemployment. In this essay, I will analyze both views first in order to come up with a fool-proof decision. To begin with, those who advocate the impracticability of university have several reasons. From their point of view, the fact is that there are numerous job opportunities for those who do not have the certification of university graduation, such as mechanics, sales persons, or engineers, and, furthermore, labors for graduates are in short supply. What is worse, the labor market for highly educated students is now too competitive to get a job after finishing their studying. In this regard it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming. However, on the other side of the coin are voices in the opposition, saying that universities provide not only skills for careers, but also academic knowledge for the human race, such as bio science, politics, and medicine. These academic values are necessary to the progress of the world. More importantly, many researches in the ivory-tower have created ingenious discoveries and achievements for the development of modern society. Another significant factor of universities is that diverse experiences in the campus life can make the young generation more competently because there are a number of chances through internships, deeper discussion, independent life, and exchange scholarships. To sum up both contentions about the necessity of universities' education have reasonable justifications; however, I agree with the latter view. Although higher education does not guarantee young students' success, the benefits of learning in universities are the vital factor in creating more possibilities for the development of society through advancing academic fulfillment and the young generation who have experiences and challenges.",0,346,13,26.615384615384617,41,42,11,188,14.461538461538462,206,0.3092485549132948,0.0751445086705202,0.1127167630057803,0.0346820809248554,5.0,0,1,8.0,5.0,0.5193798449612403,0.8503235440987807,0.9154505133628845,346.0,143.03116505894323,2.0,-0.19632442707628156,142.83484063186694,14.8,17.2,13.52,4.503900685377524,0.5193798449612403,0.119,0.021,0.86
"In our world today, there is a wide variety of museums where people can travel to and see differently interesting things. Some people state that visiting museums is only a form of recreation; others disagree, arguing that museums play a role in education. In fact, each of these arguments has its own validity. Firstly, museums such as art and music can offer people with a wide range of entertainment activities. For example, they often organise traditional music events performed by local or other famous artists that people can attend to and enjoy to some extent. Another point is that many visitors nowadays may choose to come to museums just for pleasure or as one of the activities that they take part in their holiday trips. This, therefore, makes museums a place to entertain in people leisure time. On the other hand, the establishment of a particular museum like history, science, or oceanography is usually attached to educational purposes. As can be seen, school and university students and teachers are always the guests of museums because the places are where they can discover and obtain a large amount of information related to their studies and teaching. In addition, there are a number of seminars and conferences held at museums that are informative and necessary for scholars and experts in their fields of research. In this way, museums prove the supporting role in human education. In conclusion, visiting museums is clearly seen as both means of entertainment and education. However, from my viewpoint, people should perceive the value of museums in enhancing their own knowledge about the world they live in.",0,269,13,20.692307692307693,21,37,10,141,10.846153846153848,164,0.3159851301115242,0.137546468401487,0.0669144981412639,0.0223048327137546,11.0,0,1,6.923,2.0,0.5484949832775919,0.8498519796591538,0.9304769039154053,266.0,112.2012734087616,2.0,-0.06404229758558067,112.13723111117602,11.4,12.8,11.49,4.2004549215134,0.5484949832775919,0.13,0.029,0.842
"Nowadays, the world includes developing countries and developed countries. The difference between them is amount of money that governments use in critical areas such as commerce, health, education. The poor countries are buried in debts which are caused by loans they borrowed from The World Bank and the rich countries. To ease this difference and help the less fortune countries, the richer countries should take efforts in improving important areas in the less fortune countries. Most of the people in African and poor countries live in difficult conditions because of their countries locate in areas where lack of natural resources and have bad weather conditions for development as well. In these countries, citizens are in need for foods, corrupt and unemployment rate is at high level, the consequences of AIDS are devastating quickly. These problems will be dealt with if the richer countries agree to help by donating free drugs for the inflected population, sending doctors and nurses to treat and educate those in need, teaching the inflected citizens how to prevent this disease spread. Furthermore, most economies of developing countries depends on exporting raw material and agricultural products as rice, corn. Then, they buy industrialized products from developed countries which result in financial deficit. This made poor countries have to borrow significant amount of money from World Bank which they can not repay even interest. Sometimes, the money disappears without any impact. Regarding to this issue, the G8 which include eight richest countries decided to forgive billions of dollars in debts owned by poor countries. In conclusion, the rich countries play an important role in helping poor countries develop important areas such as trade, health and education. Besides rely on helps from rich countries, poor countries should take efforts by themselves.",0,292,14,20.857142857142858,22,42,7,132,9.428571428571429,170,0.2842465753424658,0.1643835616438356,0.1232876712328767,0.0171232876712328,20.0,0,1,7.0,1.0,0.5201238390092879,0.832377587045942,0.9033011794090271,287.0,109.75449677238512,4.0,-0.40445617296759406,109.35004059941754,11.4,14.6,13.69,4.111401368982427,0.5201238390092879,0.173,0.129,0.698
"The last 50 years have seen an increasing number of immigrants to other countries. People moved due to a number of reasons, namely better educations or higher salary jobs. Some people thought that they should follow the local customs in order to integrate into their adopted countries' cultures. However I strongly believe that they are able to sustain their cultural identities and doing so help they keep their origin values. Firstly, maintaining one's cultural identity is a key important rule to help individuals emerge in the new multicultural environments. Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues. Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values. These feedbacks, in turn, help raise one's pride of their cultures and help people understand each other more. Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential. Secondly, it is crucial to keep one's identity for they need a connection back to their country as well as teach their children their value of origin. For instance, children immigrated to a new country will face social troubles in school with new friends. In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home. Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism. Hence, it is clear that keeping the cultural traditions in the destination countries is tremendous important. To conclude, although there are opposing ideas of neglecting one's cultural values to adapt in the new cultures. As far as I am concerned, sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society.",0,323,16,20.1875,19,32,14,161,10.0625,191,0.2383900928792569,0.1857585139318885,0.1238390092879257,0.0526315789473684,6.0,0,1,6.25,3.0,0.5266106442577031,0.8596722669899464,0.9272734522819519,325.0,136.4732188125659,1.0,-0.024373061137530527,136.4488457514284,11.2,13.3,12.53,4.1850402286063515,0.5266106442577031,0.19,0.039,0.771
"It is every student's desire to study at a good university and experience a new environment. While some students study and live overseas to achieve this, some prefer to study home because of the difficulties of living and studying overseas. In my opinion, one who studies overseas will gain many skills throughout this experience for several reasons. First, studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures. Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life. Second, living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet. One who is living overseas will of course struggle with loneliness, living away from family and friends but those difficulties will turn into valuable experiences in the following steps of life. Moreover, the one will learn living without depending on anyone else. Also, employers are mostly looking for people who have international and language skills. Becoming successful in this study will give the student an edge in job market. Therefore, one who has studied and lived overseas will become more eligible for the job than his/her peers. In conclusion, there are many difficulties a student might face when studying and living overseas. However, living and studying overseas gives the individual a new perspective on the subject that is studied or in general life.",0,258,13,19.846153846153847,16,34,11,140,10.76923076923077,141,0.2093023255813953,0.2054263565891473,0.0736434108527131,0.0465116279069767,10.0,1,2,6.154,1.0,0.4911660777385159,0.8515399190095755,0.9228861927986145,260.0,106.17889384840203,0.0,0.0,106.17889384840203,11.0,13.4,12.82,3.63799874962357,0.4911660777385159,0.086,0.039,0.875
"There is not a single piece of history that determines whether or not same sex marriage is right or wrong. There is absolutely no legal, logical, or governing reason that same sex couples cannot be wed and it's extremely unconstitutional in every way to tell them they can't. Same sex marriage should be legal for a number of reasons, a few being, it's no one else's business if two men or two women want to get married, not allowing them to marry makes them seem inferior, and it rids them of their civil rights. In the book Gay marriage by Kate Burns, it states ""Who owns marriage? In other words, who defines marriage? Who allows marriage, and who enforces it?"" (22) It's wrong to tell two people who love each other that they cannot marry; it's nobody's business who you fall in love with. Just like it is no one's business to tell same sex couples they should not be able wed. Same sex couples just want the benefits of being married like everyone else and there is no proof saying that it is wrong for them to have those benefits. By not allowing them to marry all that America is doing is depriving same sex couples of their rights to care for each other and provide for each other. A common married couple gets benefits on health, gets to make decisions that are best for their spouse in extreme cases, and gets to inherit their spouse's belongings in death. Making same sex marriage illegal also makes the people who are attracted to the same sex feel inferior. Nobody likes feeling inferior, or like they a below standards, by making sex marriage illegal you are making people who are attracted to the same sex feel and seem inferior to others. Homosexuality is not a conscious choice; it's something they are born with. Just like you didn't choose who you love, neither did they. So it's unfair to make same sex marriage seem inferior when it is no different. In the book Historical Guides to Controversial Issues in America Same-Sex Marriage by Allene Phy-Olsen it states ""Recent decades have seen much interest in the idea of diversity. The argument for same sex marriage asserts that it is hypocritical to deny the full rights and opportunities of citizenship which includes the access to an institution as basic as matrimony"" (76) You would never make a women feel inferior for being a women, so why should you make a man or a women feel like they are less just based on who they love. Same sex marriage being illegal rids the couple of their civil rights. Civil rights are something people have worked hard to maintain over the years, abolishing slavery and treating women equally. Homosexual couples are no different. They deserve to have their civil rights fulfilled, just like women deserve to vote, they should be allowed to get married. Majority of the population against same sex marriage firmly believe the bible states that it is unholy for couples of the same gender to marry. Many people think that the word of the bible is comparable to law; however we have an amendment which protects our country from that exact situation. In the book The Constitution of the United States of America The Bicentennial keepsake edition, the first amendment provides that ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof ..."" (51) The fact that it's in the bible should not dictate the laws against same sex couples becoming wed. Not allowing same sex couples to marry is like saying all people born with a certain hair color should not be allowed marry people of other hair colors, It makes no sense. Laws have been changed for all sexes, races' and genders for the same purpose, equal rights. It is hypocritical to not allow same sex marriage to occur when it appeals to a large growing group of people. In the end same sex couples are really just couples and should be treated as such. They should be allowed the benefits of marriage, treated equally, not like they are inferior, and same sex couples should be allowed their civil rights. One day in the future this will be achieved. Work cited Burns, Kate. Gay Marriage. Detroit: Greenhaven Press, 2005. Print. Phy-Olsen, Allene. Same-sex Marriage. Westport, Conn: Greenwood Press, 2006. Print. Priess, Byron and Osterland, David. The Constitution of the United States of America the Bicentennial Keepsake Edition. New York, New York: AByron press book, 1987. Print.",0,761,42,18.11904761904762,12,88,1,418,9.952380952380953,339,0.2102496714848883,0.1537450722733245,0.1077529566360052,0.0854139290407358,20.0,14,2,4.308,35.0,0.36123853211009177,0.7572308767300385,0.8711736798286438,765.0,328.5992183037477,4.0,-0.32340368775320505,328.2758146159945,9.9,11.1,9.52,4.222069468609867,0.36123853211009177,0.114,0.103,0.783
"The last decade has seen an increasing number of tourists travelling to visit natural wonder sights, ancient heritages and different cultures around the world. While some people might think that this international tourism has negative effects on the destination countries, I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations. Firstly, international tourism promotes many aspects of the destination country's economy in order to serve various demands of tourists. Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores. These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard. Therefore tourism has clearly improved lives in the tourist country. Secondly, through tourism industry, many cultural values have been preserved and natural environments have been protected. For instance, in Vietnam, many cultural costumes and natural scenes, namely 'Trong Dong' drum performance and 'Ha Long' bay, are being encouraged to preserve and funded by the tourism ministry. Without this support and profit from tourism, many traditional cultures would disappear due to its low income works. Thus, tourism has survived many non-tangible cultural values and beauty scenes. To conclude, as far as I am concerned, international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries. In addition, the authorities should adequately support these sustainable developments.",0,251,12,20.916666666666668,10,39,10,106,8.833333333333334,166,0.3147410358565737,0.1394422310756972,0.1354581673306772,0.0119521912350597,8.0,0,1,5.083,5.0,0.5830388692579506,0.8269189198811849,0.8902727365493774,249.0,96.23353505273228,1.0,-0.11071166754540791,96.12282338518688,12.6,16.8,16.07,4.1893639617264675,0.5830388692579506,0.19,0.044,0.765
"Camping can take on many definitions. Camping to one person can mean seclusion in the middle of a forest. Another individual might think camping as a motor home with all the amenities of their house, including the kitchen sink. Whatever the definition is, camping is an experience that should be tried by everyone. The U.S. Environmental Protection Agency has posted on their website, epa.gov/iaq/pubs/insidest.html, that approximately 90% of a person's life is spent indoors. The same article goes on to state ""In the last several years, a growing body of scientific evidence has indicated that the air within homes and other buildings can be more seriously polluted than the outdoor air in even the largest and most industrialized cities."" Spending time camping is a great way to revitalize the lungs. The phrase ""city air"" often is thought as air that is polluted, while ""country air"" is often used to describe clean, healthy air. Breathing the country air usually makes a person feel revitalized. There is no better way to receive the country air than while camping. Another great part about camping is being outside under the sun. The sun rays help the human body with the production of vitamin D. In fact, other than popping a vitamin pill, the only way that a body can produce vitamin D is through the exposure to the sun. Feeling the warm rays of the sun hit the face is always a welcome sensation. Being outside in the sun is another great advantage of camping. With the recent downturn of the economy, people are always trying to find ways to have fun at a relative inexpensive cost. Camping is a great way to have fun while keeping the overall cost down. A one night stay at Sands of Time RV Park costs twenty two dollars a night. That fee includes water, sewer, and electric. A stay in a condo in the same area will cost at least $645.00 for the week. A condo will cost the family $491 more than a campsite. That difference in price can make a camping trip a good possibility while keeping the overall costs down to a minimum. Camping gives anyone the possibility to go places that they have never been before. Camping can take you to Yosemite, or into the Band Lands of South Dakota. Camping can also take place at a nearby state park. No matter where the campsite is, a camper can feel miles away from the city. There are so many places both near and far that are best experienced by spending a few days within the place. Camping gives you the ability to see these beautiful locations at first sunlight, in the middle of the day, at sunset and even under the stars. It can be amazing how different the same object can look throughout the day. Campers often express how a feeling comes over their body when they reach the moment when the day to day turmoil leaves their body. Virtually every camper experiences this moment. This is specifically when they are experiencing nature and the realization is made how much simpler life is when outside with nature. Returning to nature often allows campers to return to their true selves. It is this discovery that should be experienced by all. The benefits of camping can also be seen in families. Some people that do not like the idea of camping give the reason of having to camp with people in such a confined space. It this confined space that, when allowed, can create a close bond between family members. When families go camping, they put the jobs and sporting events on hold. There are usually no video games being played, no soccer practice to drive to, and no business projects to worry about. By putting aside all of these events, the family has an opportunity to bond and renew their relationships. Some of this may be foreign to some people and there can be resistance. When this resistance is put aside, these bonds will be renewed. Camping is a great way to bring families together and strengthen their love. Food is always a item that people cannot do without. Campers have an opportunity to try some interesting food. Cooking over a fire makes burgers and potatoes taste better than can be found at any fast food place. Campers need to think out their meals thoroughly prior to making a trip. These well planned meals are sometimes the best meals that campers have ever had. Cooking a chicken over campfire, cooking an apple pie in a dutch oven, and cooking a burger wrapped in foil on the coals of a camp fire can put the best gourmet chefs to shame. Perhaps it is the fresh smoke, the clean air or just the fact that a camper's senses are heightened. Whatever the reasons are, food always tastes better when camping. Some of the people that can be met while camping can make the entire trip better. Campers can come from every state, and sometimes different countries. Taking a simple walk around the campsite, the camper can encounter these people and hear the most amazing stories. Campers are friendly and enjoy the company of fellow campers. Kids always seem to find new ""best friends"" for the weekends and even adults may find themselves sharing a meal with their new neighbors. Sometimes camping can also make campers realize the overlooked luxuries that they experience day to day. Flush toilets, warm showers, central heating and air, and even the lack of bugs accompanying the sleeping camper are some of the luxuries that are missed the most. A small weekend away from these luxuries can make the campers realize how lucky they are in their day to day living. Camping is one of the most basic and enjoyable activities that can be experienced by all. Camping has no requirements other than willing participants. Camping doesn't discriminate, doesn't have deadlines and has nothing but fun around each corner. No matter if the camping is experienced in a tent or in a luxury camper, getting outside, in the wilderness can provide a lifetime of memories. Camping has something for everyone.",0,1029,63,16.333333333333332,14,45,5,558,8.857142857142858,489,0.2672497570456754,0.1477162293488824,0.0699708454810495,0.021379980563654,14.0,4,3,4.969,8.0,0.39457567804024496,0.8753914759709285,0.8953136801719666,1029.0,428.7086541293394,2.0,-0.0680441253061713,428.6406100040332,7.0,8.5,9.05,4.756260927130772,0.39457567804024496,0.103,0.031,0.866
"With the rapid development of the standard of people's life, increasing numbers of animal experiments are done, new medicines and foods, for instance. Some opponents says that it is cruel to animals and nature, however, I believe that no sensible person will deny that it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals. In my essay, I will discuss this issue from twofold aspects. First of all, as we all know, animals are friendly and vital for people, because if there are no animals in the world, the balance of nature will broke down, and we, human, will die out as well. The animal experiments accelerate the vanishing of some categories of animals. In other words, doing this various testing is a hazard of human's future and next generation. Though animal experiments have negative impact on the natural balance, it is necessary to make sure that people can live a long life. To begin with, it is indisputable that every new kind food or pill may be noxious, and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying. The new foods or medicines are invented to promote the quantity of human's life. Thus even if they are volunteers; they cannot take the place of animals to test the new foods or medicines. Furthermore, it also have potentially harm for human's health without any testing. To sum up, I reaffirm that although there is some disadvantages of animals' profits, the merits of animal experiments still outweigh the demerits.",0,271,12,22.58333333333333,23,43,11,153,12.75,163,0.2656826568265683,0.1328413284132841,0.0959409594095941,0.055350553505535,7.0,1,2,5.667,9.0,0.5,0.8302500744660696,0.9177087545394897,274.0,111.9312688799908,1.0,-0.02657858305465459,111.90469029693614,12.1,12.8,10.39,3.9831913853419914,0.5,0.087,0.111,0.802
"The last decade has seen an increasing number of tourists travelling to visit natural wonder sights, ancient heritages and different cultures around the world. While some people might think that this international tourism has negative effects on the destination countries, I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations. Firstly, international tourism promotes many aspects of the destination country's economy in order to serve various demands of tourists. Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores. These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard. Therefore tourism has clearly improved lives in the tourist country. Secondly, through tourism industry, many cultural values have been preserved and natural environments have been protected. For instance, in Vietnam, many cultural costumes and natural scenes, namely 'Trong Dong' drum performance and 'Ha Long' bay, are being encouraged to preserve and funded by the tourism ministry. Without this support and profit from tourism, many traditional cultures would disappear due to its low income works. Thus, tourism has survived many non-tangible cultural values and beauty scenes. To conclude, as far as I am concerned, international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries. In addition, the authorities should adequately support these sustainable developments.",0,251,12,20.916666666666668,10,39,10,106,8.833333333333334,166,0.3147410358565737,0.1394422310756972,0.1354581673306772,0.0119521912350597,8.0,0,1,5.083,5.0,0.5830388692579506,0.8269189198811849,0.8902727365493774,249.0,96.23353505273228,1.0,-0.11071166754540791,96.12282338518688,12.6,16.8,16.07,4.1893639617264675,0.5830388692579506,0.19,0.044,0.765
